2024-12-15 05:10:43.874Z | Internal            | Logger         | Started logging.
2024-12-15 05:10:43.874Z | Internal            | Logger         | Game version: 13.5.1.
2024-12-15 05:10:43.874Z | Internal            | Logger         | Build type: Release.
2024-12-15 05:10:43.874Z | Internal            | Logger         | Build timestamp: 2024-07-20 16:26:48Z.
2024-12-15 05:10:43.874Z | Internal            | Logger         | Headless: True.
2024-12-15 05:11:31.315Z | Connection update   | Networking     | 76561198165685631@steam preauthenticated from endpoint 172.20.0.1:52906.
2024-12-15 05:11:40.545Z | Connection update   | Networking     | 76561198165685631@steam authenticated from endpoint 172.20.0.1:52906. Player ID assigned: 2. Auth token serial number: wxf1m793-1O6vcVgk.
2024-12-15 05:11:40.547Z | Connection update   | Networking     | Nickname of 76561198165685631@steam is now Fuzen.
2024-12-15 05:11:40.554Z | Connection update   | Permissions    | Fuzen (76561198165685631@steam) has been assigned to group ADMIN.
