2024-12-15 04:20:24.685Z | Internal            | Logger         | Started logging.
2024-12-15 04:20:24.685Z | Internal            | Logger         | Game version: 13.5.1.
2024-12-15 04:20:24.685Z | Internal            | Logger         | Build type: Release.
2024-12-15 04:20:24.685Z | Internal            | Logger         | Build timestamp: 2024-07-20 16:26:48Z.
2024-12-15 04:20:24.685Z | Internal            | Logger         | Headless: True.
2024-12-15 04:20:28.343Z | Connection update   | Networking     | 76561198165685631@steam preauthenticated from endpoint 172.20.0.1:53768.
2024-12-15 04:20:47.025Z | Connection update   | Networking     | 76561198165685631@steam authenticated from endpoint 172.20.0.1:53768. Player ID assigned: 2. Auth token serial number: 8CTcDM5f-Wo0KkAXJ.
2024-12-15 04:20:47.028Z | Connection update   | Networking     | Nickname of 76561198165685631@steam is now Fuzen.
2024-12-15 04:23:56.360Z | Connection update   | Networking     | Fuzen (76561198165685631@steam) disconnected from IP address 172.20.0.1. Last class: None.
